;2MKA/MOK2013;MOK2013;1 gruppe;2MKA;;Nei;
;;Medieuttrykk 2;;;;;
;1IMA/MAT1121;MAT1121;1 gruppe;1IMA;;Nei;
;;Matematikk 1P-Y IM;;;;;
;1IMB/IKM1003-1;IKM1003;1 gruppe;1IMB;;Nei;
;;Konseptutvikling og programmering;;;;;
;1SRA/SSR1002;SSR1002;1 gruppe;1SRA;;Nei;
;;Markedsføring og innovasjon;;;;;
;1SRA/MAT1127;MAT1127;1 gruppe;1SRA;;Nei;
;;Matematikk 1P-Y SR;;;;;
;1SRA/NAT1016;NAT1016;1 gruppe;1SRA;;Nei;
;;Naturfag vg1 SR;;;;;
;1SRA/KRO1017;KRO1017;1 gruppe;1SRA;;Nei;
;;Kroppsøving vg1;;;;;
;1SRA/SSR1001;SSR1001;1 gruppe;1SRA;;Nei;
;;Forretningsdrift;;;;;
;1SRA/SSR1003;SSR1003;1 gruppe;1SRA;;Nei;
;;Kultur og samhandling;;;;;
;1IMB/NAT1013;NAT1013;1 gruppe;1IMB;;Nei;
;;Naturfag vg1 IM;;;;;
;2SRLA/SRL2002;SRL2002;1 gruppe;2SRLA;;Nei;
;;Innovasjon og markedsføring;;;;;
;2SRLA/YFF4209;YFF4209;1 gruppe;2SRLA;;Nei;
;;Yrkesfaglig fordypning vg2;;;;;
;1IMB/KRO1017;KRO1017;1 gruppe;1IMB;;Nei;
;;Kroppsøving vg1;;;;;
;1IMA/YFF4106;YFF4106;1 gruppe;1IMA;;Nei;
;;Yrkesfaglig fordypning vg1;;;;;
;2SRLA/SRL2001;SRL2001;1 gruppe;2SRLA;;Nei;
;;Forretningsdrift;;;;;
;2STA/KRO1018;KRO1018;1 gruppe;2STA;;Nei;
;;Kroppsøving vg2;;;;;
;1IMB/MAT1121;MAT1121;1 gruppe;1IMB;;Nei;
;;Matematikk 1P-Y IM;;;;;
;1IMA/NAT1013;NAT1013;1 gruppe;1IMA;;Nei;
;;Naturfag vg1 IM;;;;;
;1IMA/KRO1017;KRO1017;1 gruppe;1IMA;;Nei;
;;Kroppsøving vg1;;;;;
;2STF/KRO1018;KRO1018;1 gruppe;2STF;;Nei;
;;Kroppsøving vg2;;;;;
;2STG/KRO1018;KRO1018;1 gruppe;2STG;;Nei;
;;Kroppsøving vg2;;;;;
;2STH/KRO1018;KRO1018;1 gruppe;2STH;;Nei;
;;Kroppsøving vg2;;;;;
;2MKA/MOK2009;MOK2009;1 gruppe;2MKA;;Nei;
;;Mediesamfunnet 2;;;;;
;3PBYA/HIS1011;HIS1011;1 gruppe;3PBYA;;Nei;
;;Historie Vg3 påbygging til generell studiekompetanse;;;;;
;3MKA/HIS1010;HIS1010;1 gruppe;3MKA;;Nei;
;;Historie Vg3 studieforberedende utdanningsprogram;;;;;
;2STB/KRO1018;KRO1018;1 gruppe;2STB;;Nei;
;;Kroppsøving vg2;;;;;
;2STD/KRO1018;KRO1018;1 gruppe;2STD;;Nei;
;;Kroppsøving vg2;;;;;
;2STC/KRO1018;KRO1018;1 gruppe;2STC;;Nei;
;;Kroppsøving vg2;;;;;
;2STE/KRO1018;KRO1018;1 gruppe;2STE;;Nei;
;;Kroppsøving vg2;;;;;
;2MKA/KRO1018;KRO1018;1 gruppe;2MKA;;Nei;
;;Kroppsøving vg2;;;;;
;1STA/NAT1007;NAT1007;1 gruppe;1STA;;Nei;
;;Naturfag vg1 studieforberedende utdanningsprogram;;;;;
;2MKA/HIS1009;HIS1009;1 gruppe;2MKA;;Nei;
;;Historie vg2 studieforberedende utdanningsprogram;;;;;
;2STC/HIS1009;HIS1009;1 gruppe;2STC;;Nei;
;;Historie vg2 studieforberedende utdanningsprogram;;;;;
;2STH/HIS1009;HIS1009;1 gruppe;2STH;;Nei;
;;Historie vg2 studieforberedende utdanningsprogram;;;;;
;3STA/HIS1010;HIS1010;1 gruppe;3STA;;Nei;
;;Historie Vg3 studieforberedende utdanningsprogram;;;;;
;3STB/HIS1010;HIS1010;1 gruppe;3STB;;Nei;
;;Historie Vg3 studieforberedende utdanningsprogram;;;;;
;3STC/HIS1010;HIS1010;1 gruppe;3STC;;Nei;
;;Historie Vg3 studieforberedende utdanningsprogram;;;;;
;1STB/NAT1007;NAT1007;1 gruppe;1STB;;Nei;
;;Naturfag vg1 studieforberedende utdanningsprogram;;;;;
;3MKA/MOK2014;MOK2014;1 gruppe;3MKA;;Nei;
;;Medieuttrykk 3;;;;;
;2STB/HIS1009;HIS1009;1 gruppe;2STB;;Nei;
;;Historie vg2 studieforberedende utdanningsprogram;;;;;
;1IMA/IKM1002;IKM1002;1 gruppe;1IMA;;Nei;
;;Teknologiforståelse;;;;;
;1IMA/IKM1003-1;IKM1003;1 gruppe;1IMA;;Nei;
;;Konseptutvikling og programmering;;;;;
